交易,開盤,最高,最低,收盤,漲跌,漲跌,振幅,成交資料,,,,法人買賣超(張),,,,外資,融資(張),,融券(張),,券資
日期,,,,,,(%),(%),,,,,,,,,持股,,,,,比
,,,,,,,,張數,筆數,均張,億元,外資,投信,自營,合計,(%),增減,餘額,增減,餘額,(%)
7月8日,18.9,18.95,18.85,18.95,0.05,0.26,0.53,"2,869",930,3.1,0.54,-671,0,59,-612,31.3,-4,"34,852",17,187,0.5
7月5日,18.95,19,18.85,18.9,0,0,0.79,"3,324","1,167",2.8,0.63,126,0,-196,-70,30.6,-84,"34,856",46,170,0.5
7月4日,18.75,18.95,18.7,18.9,0.35,1.89,1.35,"6,875","2,342",2.9,1.3,993,0,-688,305,30.6,-346,"34,940",124,124,0.4
7月3日,19.55,19.6,19.25,19.3,-0.2,-1.03,1.79,"10,263","2,874",3.6,2,"-3,700",0,150,"-3,550",30.6,485,"35,286",0,0,0
7月2日,19.6,19.65,19.45,19.5,-0.1,-0.51,1.02,"3,555","1,265",2.8,0.7,-600,0,303,-297,30.7,118,"34,801",0,0,0
7月1日,19.55,19.7,19.55,19.6,0.35,1.82,0.78,"4,426","1,654",2.7,0.87,"1,127",0,16,"1,143",30.7,-134,"34,683",0,0,0
6月28日,19.7,19.75,19.25,19.25,-0.35,-1.79,2.55,"5,291","1,711",3.1,1,"-2,233",0,-27,"-2,260",30.6,32,"34,817",-47,0,0
6月27日,19.5,19.75,19.4,19.6,0.25,1.29,1.81,"6,194","1,913",3.2,1.2,"2,984",0,30,"3,014",30.8,-481,"34,785",-27,47,0.1
6月26日,19.4,19.45,19.35,19.35,-0.1,-0.51,0.51,"2,146",949,2.3,0.42,-479,0,-6,-485,30.7,-9,"35,266",-20,74,0.2
6月25日,19.65,19.65,19.4,19.45,-0.15,-0.77,1.28,"2,426","1,148",2.1,0.47,-635,0,-131,-766,30.8,110,"35,275",-56,94,0.3
6月24日,19.5,19.65,19.35,19.6,0.25,1.29,1.55,"4,028","1,506",2.7,0.79,"2,131",-7,22,"2,146",30.8,-63,"35,165",23,150,0.4
6月21日,19.55,19.75,19.35,19.35,-0.15,-0.77,2.05,"8,663","2,255",3.8,1.7,-290,2,254,-34,30.7,-71,"35,228",-14,127,0.4
6月20日,19.5,19.55,19.35,19.5,0.05,0.26,1.03,"5,019","2,247",2.2,0.98,"1,127",18,-50,"1,095",30.7,-153,"35,299",-10,141,0.4
6月19日,19.2,19.45,19.1,19.45,0.55,2.91,1.85,"8,125","3,470",2.3,1.6,"3,023",17,580,"3,620",30.7,-214,"35,452",-5,151,0.4
6月18日,19,19.05,18.9,18.9,-0.05,-0.26,0.79,"3,419","1,668",2,0.65,-672,0,-21,-693,30.6,-380,"35,666",2,156,0.4
6月17日,19.2,19.2,18.85,18.95,-0.3,-1.56,1.82,"7,512","2,946",2.5,1.4,"-3,272",7,-27,"-3,293",30.6,191,"36,046",-8,154,0.4
6月14日,19.25,19.8,19.1,19.25,0.1,0.52,3.66,"10,076","3,973",2.5,2,"-3,397",0,103,"-3,294",30.7,564,"35,855",-8,162,0.5
6月13日,19.45,19.5,19.15,19.15,-0.3,-1.54,1.8,"3,320","1,248",2.7,0.64,-826,7,0,-819,30.8,314,"35,291",-18,170,0.5
6月12日,19.4,19.45,19.2,19.45,0.1,0.52,1.29,"4,630","1,512",3.1,0.9,"1,212",7,-8,"1,211",31,-68,"34,977",9,188,0.5
6月11日,19.4,19.4,19.15,19.35,0.05,0.26,1.3,"3,305","1,439",2.3,0.64,923,0,-74,849,30.9,-212,"35,045",8,179,0.5
6月10日,19,19.4,19,19.3,0.45,2.39,2.12,"6,398","2,421",2.6,1.2,"3,676",0,217,"3,893",30.9,-313,"35,257",16,171,0.5
6月6日,18.85,19,18.8,18.85,0,0,1.06,"2,789","1,166",2.4,0.53,283,0,24,307,30.6,-223,"35,570",3,155,0.4
